throughput,Caracal ES=100,throughput,Caracal ES=500,throughput,Caracal ES=1000,throughput,Caracal ES=5000,throughput,Caracal ES=10000,throughput,Caracal ES=20000
0.27,698300,0.68,268000,0.83,215300,0.98,443800,1.09,788200,1.07,1615400
0.27,684600,0.68,249100,0.84,194800,0.97,400300,1.1,689300,1.06,1436800
0.27,655000,0.68,209500,0.83,156400,0.99,294000,1.09,496800,1.06,1048700
0.27,608400,0.68,171700,0.84,114800,0.98,203400,1.09,305500,1.05,675200
0.27,562000,0.69,128600,0.83,78200,0.98,104300,1.07,128600,1.06,278600
0.27,523500,0.69,88700,0.84,37100,0.98,8700,0.99,12200,0.99,24300
0.27,325700,0.5,1400,0.5,2600,0.5,11900,0.5,22200,0.5,44100
0.25,1000,0.25,2400,0.25,5900,0.25,21800,0.25,42100,0.25,83700
0.17,900,0.17,3500,0.17,6600,0.17,32600,0.17,61900,0.17,123300
0.12,1300,0.12,4500,0.12,8600,0.12,41700,0.12,81700,0.12,163000
0.1,1400,0.1,5500,0.1,11000,0.1,51700,0.1,101600,0.1,202600
0.07,2000,0.07,8000,0.07,15800,0.07,76600,0.07,151100,0.07,301700
0.05,2500,0.05,11000,0.05,20900,0.05,101300,0.05,200800,0.05,400900
