throughput,Caracal ES=100,throughput,Caracal ES=500,throughput,Caracal ES=1000,throughput,Caracal ES=5000,throughput,Caracal ES=10000,throughput,Caracal ES=20000
0.28,689600,0.7,257800,0.86,206400,1.01,431100,1.03,832500,1.02,1691500
0.27,686500,0.71,239200,0.86,189000,1.01,385200,1.03,747100,1.02,1512600
0.27,646500,0.71,199900,0.86,149300,1.01,285800,1.04,545200,1.02,1119600
0.28,595300,0.71,159900,0.86,109300,1.0,190400,1.03,355100,1.02,735400
0.28,551200,0.71,119900,0.87,69600,1.0,97800,1.03,159800,1.01,355100
0.27,524300,0.71,81000,0.86,30800,0.99,6800,0.99,12300,0.99,24400
0.27,333200,0.5,1400,0.5,2500,0.5,11600,0.5,22300,0.5,44200
0.25,1100,0.25,2400,0.25,4500,0.25,21600,0.25,42200,0.25,83800
0.17,900,0.17,3400,0.17,6500,0.17,31600,0.17,62000,0.17,123400
0.12,1100,0.12,4500,0.12,8600,0.12,41500,0.12,81800,0.12,163100
0.1,1400,0.1,5500,0.1,11000,0.1,51400,0.1,101700,0.1,202800
0.07,2000,0.07,8100,0.07,16000,0.07,76200,0.07,151300,0.07,301900
0.05,2500,0.05,11000,0.05,20900,0.05,101200,0.05,200900,0.05,401000
